start_time;cash_no;card;shoppingsize;queuelen;taken_time;user_login
2012-03-18 15:38;0;3;1;33;146;HTC Vision
2012-03-18 15:38;0;3;1;88;145;HTC Vision
2012-03-18 15:39;0;4;0;26;145;HTC Vision
2012-03-18 15:40;1;5;1;88;146;HTC Vision
2012-03-18 15:40;0;5;0;67;145;HTC Vision
2012-03-18 15:41;1;4;0;65;145;HTC Vision
2012-03-18 15:42;0;4;1;102;146;HTC Vision
2012-03-18 15:42;0;3;1;44;146;HTC Vision
2012-03-18 15:43;0;3;0;85;145;HTC Vision
2012-03-18 15:44;1;2;0;93;145;HTC Vision
2012-03-18 15:44;1;2;1;92;146;HTC Vision
2012-03-18 15:45;1;1;0;37;146;HTC Vision
2012-03-18 15:45;0;1;0;79;145;HTC Vision
2012-03-18 15:46;0;0;0;58;146;HTC Vision
2012-03-18 15:47;0;0;0;46;146;HTC Vision
2012-03-18 15:47;1;2;1;119;145;HTC Vision
2012-03-18 15:48;0;2;0;35;145;HTC Vision
2012-03-18 15:51;1;2;1;157;145;HTC Vision
2012-03-18 15:52;0;2;0;57;145;HTC Vision
2012-03-18 15:53;0;1;0;64;145;HTC Vision
2012-03-18 15:54;1;2;0;56;145;HTC Vision
2012-03-18 15:56;0;3;0;34;146;HTC Vision
2012-03-18 15:57;0;3;1;128;145;HTC Vision
2012-03-18 15:58;0;3;1;81;146;HTC Vision
2012-03-18 15:59;0;3;0;36;145;HTC Vision
2012-03-18 15:59;1;3;0;95;145;HTC Vision
2012-03-18 15:59;1;1;0;52;147;HTC Vision
2012-03-18 15:59;0;2;0;48;146;HTC Vision
2012-03-18 16:00;0;2;0;50;145;HTC Vision
2012-03-18 16:01;1;4;2;69;145;HTC Vision
2012-03-18 16:02;0;3;0;35;146;HTC Vision
2012-03-18 16:02;0;3;0;41;146;HTC Vision
2012-03-18 16:03;0;2;0;30;146;HTC Vision
2012-03-18 16:03;0;2;0;28;146;HTC Vision
2012-03-18 16:03;0;3;0;55;145;HTC Vision
2012-03-18 16:03;1;2;0;36;145;HTC Vision
2012-03-18 16:04;0;1;0;20;146;HTC Vision
2012-03-18 16:05;1;1;0;101;145;HTC Vision
2012-03-18 16:08;0;2;0;49;145;HTC Vision
2012-03-18 16:11;1;2;0;260;147;HTC Vision
2012-03-18 16:12;0;2;0;55;147;HTC Vision
2012-03-18 16:14;0;3;0;59;147;HTC Vision
2012-03-18 16:17;0;4;0;68;169;HTC Vision
2012-03-18 16:18;0;3;0;72;169;HTC Vision
2012-03-18 16:19;0;2;0;42;169;HTC Vision
2012-03-18 16:21;1;2;0;134;169;HTC Vision
